t,unix_time,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode,mission_phase,mission_t0_unix
0.100,1770380549.797162,28.303,64.421,-0.551,-0.008,0.004,-0.594,-0.08878928422927856,0.04763947054743767,156.55784606933594,,INIT,
0.200,1770380549.897494,28.302,64.421,-0.606,-0.007,0.005,-0.583,-0.1002543568611145,0.05330056697130203,156.56227111816406,,INIT,
0.302,1770380549.998571,28.301,64.421,-0.665,-0.004,0.009,-0.569,-0.08005588501691818,0.06734850257635117,156.57867431640625,,INIT,
0.402,1770380550.098791,28.301,64.422,-0.718,-0.003,0.010,-0.554,-0.05145767331123352,0.06960904598236084,156.57931518554688,,INIT,
0.503,1770380550.199991,28.301,64.423,-0.773,-0.002,0.012,-0.530,-0.0293816439807415,0.056541990488767624,156.59376525878906,,INIT,
0.604,1770380550.300650,28.301,64.424,-0.821,-0.002,0.012,-0.475,-0.014327461831271648,0.0511515848338604,156.5914764404297,,INIT,
0.705,1770380550.401882,28.301,64.425,-0.865,-0.001,0.011,-0.377,-0.029717864468693733,0.04601456597447395,156.60720825195312,,INIT,
0.807,1770380550.503905,28.301,64.426,-0.896,-0.001,0.010,-0.270,-0.034552641212940216,0.05335289612412453,156.61123657226562,,INIT,
0.907,1770380550.604518,28.301,64.427,-0.920,0.001,0.010,-0.192,-0.03329622000455856,0.03574994206428528,156.64187622070312,,INIT,
1.008,1770380550.705170,28.302,64.428,-0.938,0.002,0.010,-0.152,-0.0032122512347996235,0.022675475105643272,156.6319580078125,HOLD,INIT,
1.109,1770380550.806357,28.303,64.430,-0.956,0.002,0.011,-0.141,0.029499441385269165,0.026465674862265587,156.65057373046875,HOLD,INIT,
1.210,1770380550.906595,28.303,64.431,-0.973,0.003,0.011,-0.147,0.013470671139657497,0.02637745626270771,156.67002868652344,HOLD,INIT,
1.311,1770380551.007660,28.303,64.432,-0.986,0.004,0.008,-0.055,0.06191272661089897,-0.0015367708401754498,156.6841278076172,HOLD,INIT,
1.412,1770380551.108531,28.304,64.433,-0.990,0.005,0.009,0.006,0.07627744227647781,-0.026336800307035446,156.6837615966797,HOLD,INIT,
1.512,1770380551.209064,28.305,64.434,-0.989,0.004,0.009,0.051,0.10660704970359802,-0.0258362777531147,156.69288635253906,HOLD,INIT,
1.612,1770380551.309504,28.306,64.434,-0.986,0.004,0.009,0.073,0.10456961393356323,-0.039757486432790756,156.70420837402344,HOLD,INIT,
1.713,1770380551.409721,28.307,64.436,-0.980,0.004,0.010,0.083,0.11044465005397797,-0.026991594582796097,156.702392578125,HOLD,INIT,
1.813,1770380551.510298,28.308,64.437,-0.974,0.005,0.010,0.088,0.14473459124565125,-0.04537481069564819,156.6936798095703,HOLD,INIT,
1.914,1770380551.610998,28.310,64.438,-0.968,0.005,0.010,0.086,0.16415870189666748,-0.06404423713684082,156.68789672851562,HOLD,INIT,
2.015,1770380551.712091,28.311,64.439,-0.962,0.004,0.008,0.079,0.1814461201429367,-0.059007346630096436,156.68704223632812,OFFBOARD,INIT,
2.116,1770380551.812615,28.312,64.440,-0.956,0.001,0.005,0.071,0.17310531437397003,-0.06938961893320084,156.6867218017578,OFFBOARD,INIT,
2.216,1770380551.913217,28.313,64.441,-0.952,-0.001,0.002,0.061,0.1435391753911972,-0.06477651000022888,156.7000732421875,OFFBOARD,INIT,
2.316,1770380552.013422,28.313,64.442,-0.947,-0.003,0.001,0.053,0.1257638931274414,-0.05985874682664871,156.7027587890625,OFFBOARD,INIT,
2.418,1770380552.114536,28.314,64.442,-0.943,-0.003,-0.000,0.047,0.11803410947322845,-0.055479127913713455,156.69822692871094,OFFBOARD,INIT,
2.518,1770380552.214858,28.314,64.442,-0.940,-0.003,0.000,0.039,0.12427227199077606,-0.04997728019952774,156.705078125,OFFBOARD,INIT,
2.619,1770380552.315830,28.315,64.442,-0.937,-0.002,-0.001,0.029,0.12339979410171509,-0.06030232459306717,156.71466064453125,OFFBOARD,INIT,
2.720,1770380552.416614,28.316,64.442,-0.934,-0.002,-0.002,0.019,0.14421841502189636,-0.0994533821940422,156.685791015625,OFFBOARD,INIT,
2.821,1770380552.517828,28.317,64.442,-0.933,-0.002,-0.002,0.011,0.13649193942546844,-0.09847217053174973,156.6845703125,OFFBOARD,INIT,
2.922,1770380552.618877,28.318,64.442,-0.932,-0.004,-0.002,0.005,0.1281551569700241,-0.09550856798887253,156.6815948486328,OFFBOARD,INIT,
3.023,1770380552.719834,28.319,64.443,-0.932,-0.006,-0.003,0.000,0.1370185762643814,-0.08852288126945496,156.69964599609375,OFFBOARD,INIT,
3.124,1770380552.820922,28.321,64.444,-0.932,-0.006,-0.003,-0.005,0.13244248926639557,-0.08182930201292038,156.70278930664062,OFFBOARD,INIT,
