t,unix_time,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode,mission_phase,mission_t0_unix
0.100,1770379656.625162,-0.012,-0.001,-0.548,-0.012,0.003,-0.600,-0.024131720885634422,-0.2543596923351288,-0.45294731855392456,,INIT,
0.201,1770379656.725648,-0.014,-0.001,-0.604,-0.009,0.003,-0.588,-0.004940765909850597,-0.2610018849372864,-0.45757997035980225,,INIT,
0.302,1770379656.826602,-0.016,-0.002,-0.664,-0.006,0.003,-0.573,-0.00027980352751910686,-0.2743775546550751,-0.4637662470340729,,INIT,
0.403,1770379656.928058,-0.017,-0.002,-0.718,-0.001,0.003,-0.557,-0.00810918677598238,-0.27906298637390137,-0.46428239345550537,,INIT,
0.504,1770379657.029107,-0.018,-0.002,-0.775,0.002,0.001,-0.534,0.005515918601304293,-0.25279027223587036,-0.45111823081970215,,INIT,
0.605,1770379657.130187,-0.020,-0.003,-0.824,0.006,-0.001,-0.477,0.029195532202720642,-0.2534790635108948,-0.4584968686103821,,INIT,
0.706,1770379657.230395,-0.020,-0.003,-0.869,0.008,-0.001,-0.371,0.04204203560948372,-0.23794323205947876,-0.45303356647491455,,INIT,
0.807,1770379657.332101,-0.021,-0.004,-0.890,0.008,-0.002,-0.297,0.05650113523006439,-0.24272684752941132,-0.4502969980239868,,INIT,
0.908,1770379657.432917,-0.022,-0.004,-0.918,0.011,-0.002,-0.208,0.06837991625070572,-0.2511076033115387,-0.4526769518852234,,INIT,
1.009,1770379657.534173,-0.023,-0.004,-0.939,0.013,-0.001,-0.160,0.07112356275320053,-0.25031328201293945,-0.4695740342140198,,INIT,
1.111,1770379657.635882,-0.024,-0.004,-0.958,0.018,-0.000,-0.141,0.05384371429681778,-0.21823827922344208,-0.45538416504859924,HOLD,INIT,
1.212,1770379657.736810,-0.024,-0.005,-0.976,0.020,-0.001,-0.146,0.040730174630880356,-0.19999559223651886,-0.4570981562137604,HOLD,INIT,
1.313,1770379657.837392,-0.024,-0.005,-0.992,0.021,-0.001,-0.066,0.04001979902386665,-0.005180533044040203,-0.46362218260765076,HOLD,INIT,
1.414,1770379657.938408,-0.024,-0.005,-0.999,0.019,-0.001,0.001,0.02608109638094902,0.10766925662755966,-0.46694323420524597,HOLD,INIT,
1.514,1770379658.039046,-0.024,-0.005,-0.999,0.014,-0.002,0.049,0.02302740141749382,0.09704053401947021,-0.4659486413002014,HOLD,INIT,
1.615,1770379658.140144,-0.024,-0.005,-0.997,0.012,-0.002,0.074,0.04315612092614174,0.05532718822360039,-0.4632410705089569,HOLD,INIT,
1.716,1770379658.241076,-0.024,-0.005,-0.992,0.012,-0.002,0.090,0.037847064435482025,0.05052768811583519,-0.4634343385696411,HOLD,INIT,
1.818,1770379658.342271,-0.023,-0.004,-0.987,0.010,0.000,0.096,0.025559697300195694,0.03958853334188461,-0.4362765848636627,HOLD,INIT,
1.919,1770379658.443999,-0.023,-0.004,-0.981,0.007,-0.000,0.096,0.0020616159308701754,0.017841532826423645,-0.43038469552993774,HOLD,INIT,
2.020,1770379658.545034,-0.023,-0.003,-0.975,0.005,-0.001,0.092,-0.003073291154578328,-0.0018026964971795678,-0.44027093052864075,HOLD,INIT,
2.121,1770379658.645338,-0.023,-0.003,-0.969,0.003,-0.002,0.085,0.014070856384932995,-0.03098686970770359,-0.4594525396823883,OFFBOARD,INIT,
2.222,1770379658.746472,-0.023,-0.003,-0.964,0.005,-0.005,0.078,0.0373910516500473,-0.01773061417043209,-0.4756779968738556,OFFBOARD,INIT,
2.323,1770379658.847406,-0.023,-0.003,-0.959,0.003,-0.005,0.069,0.05336131528019905,-0.002313420409336686,-0.4669088125228882,OFFBOARD,INIT,
2.424,1770379658.948700,-0.022,-0.003,-0.955,0.002,-0.005,0.059,0.06083224341273308,-0.015027732588350773,-0.47132086753845215,OFFBOARD,INIT,
2.525,1770379659.049833,-0.020,-0.002,-0.950,0.004,-0.004,0.045,0.0635128989815712,-0.009933560155332088,-0.4769875109195709,OFFBOARD,INIT,
2.626,1770379659.150868,-0.019,-0.001,-0.948,0.003,-0.002,0.037,0.029407130554318428,0.017786985263228416,-0.4595209062099457,OFFBOARD,INIT,
2.728,1770379659.252279,-0.017,0.000,-0.946,0.005,-0.001,0.028,-0.0022972680162638426,0.020582033321261406,-0.46822410821914673,OFFBOARD,INIT,
2.828,1770379659.352731,-0.016,0.001,-0.945,0.004,-0.002,0.021,-0.01462714932858944,0.046706147491931915,-0.46693775057792664,OFFBOARD,INIT,
2.929,1770379659.453669,-0.014,0.002,-0.944,0.003,0.000,0.015,-0.02543605864048004,0.06425212323665619,-0.4631275236606598,OFFBOARD,INIT,
3.030,1770379659.554405,-0.013,0.003,-0.944,0.002,0.001,0.011,-0.06122003123164177,0.06246013566851616,-0.4641967713832855,OFFBOARD,INIT,
3.131,1770379659.655585,-0.013,0.005,-0.944,-0.001,0.002,0.005,-0.08983182162046432,0.06151308864355087,-0.4586629867553711,OFFBOARD,INIT,
3.232,1770379659.756299,-0.012,0.006,-0.944,-0.001,0.000,0.004,-0.0946338102221489,0.044403549283742905,-0.45887571573257446,OFFBOARD,INIT,
3.333,1770379659.857281,-0.011,0.007,-0.944,-0.002,0.000,-0.002,-0.08389245718717575,0.05389408394694328,-0.47307831048965454,OFFBOARD,INIT,
3.433,1770379659.957738,-0.011,0.009,-0.945,-0.003,0.000,-0.004,-0.11791453510522842,0.0505654476583004,-0.48124682903289795,OFFBOARD,INIT,
3.534,1770379660.058527,-0.011,0.011,-0.947,-0.003,-0.001,-0.008,-0.1295844465494156,0.044521283358335495,-0.4619176685810089,OFFBOARD,INIT,
3.635,1770379660.159525,-0.010,0.012,-0.947,-0.004,-0.003,-0.009,-0.1186898872256279,0.043964482843875885,-0.4656210243701935,OFFBOARD,INIT,
3.736,1770379660.260708,-0.010,0.014,-0.949,-0.005,-0.004,-0.011,-0.122188039124012,0.044196952134370804,-0.4726918041706085,OFFBOARD,INIT,
3.837,1770379660.361426,-0.011,0.017,-0.951,-0.005,-0.005,-0.011,-0.14332427084445953,0.044468432664871216,-0.4636135697364807,OFFBOARD,INIT,
3.937,1770379660.461517,-0.011,0.019,-0.952,-0.005,-0.007,-0.013,-0.16482307016849518,0.0386529378592968,-0.49299487471580505,OFFBOARD,INIT,
4.038,1770379660.562471,-0.011,0.020,-0.953,-0.006,-0.006,-0.013,-0.15839222073554993,0.044458117336034775,-0.47989702224731445,OFFBOARD,INIT,
4.138,1770379660.662804,-0.012,0.023,-0.955,-0.008,-0.007,-0.013,-0.1846098154783249,0.022752558812499046,-0.48315539956092834,OFFBOARD,INIT,
4.239,1770379660.764023,-0.012,0.024,-0.956,-0.008,-0.008,-0.013,-0.20161108672618866,0.0014870322775095701,-0.48736733198165894,OFFBOARD,INIT,
